lemma;tags;ordklasse;transfertype;falsepositive;noter
abbedi;REL;S;L;;
abinde;FAU;S;L;1;
advent;REL;S;L;1;
afbigt;SPR;S;N;;
afbræk;HAN;S;L;;
afbud;SPR;S;L;;
afgrund;VER;S;L;;
afgud;REL;S;L;;
afguderi;REL;S;L;;
afgunst;FØL;S;L;;
afhandling;SAM;S;L;;
aflad;REL;S;L;;
afmagt;FØL;S;L;;
afsked;SPR;S;L;;
aftræd;HAN;S;L;1;
agerum;FLO;S;L;1;
agt;SAN;S;L;;
agter;SØF;S;L;1;
agterstand;BES;S;L;1;
agtertanke;KOG;S;L;1;
agtning;KOG;S;L;;
akeleje;FLO;S;L;;
alant;FLO;S;L;;
alderdom;KRO;S;L;;
aldermand;SAM;S;L;;
allike;FAU;S;L;;
almisse;REL;S;L;;
alrune;FLO;S;L;;
alun;HÅN;S;L;;
alvor;KOG;S;L;;
ambolt;HÅN;S;L;;
amdam;GAS;S;L;;
ame;KVA;S;L;;
amt;SAM;S;L;;
andel;BES;S;L;;
andeputte;VER;S;N;1;
andrik;FAU;S;L;;
andvord;BES;S;L;;
ane;SLÆ;S;L;;
anfald;KRO;S;L;;
angang;HAN;S;L;;
angel;HÅN;S;L;;
angreb;MIL;S;L;;
angst;FØL;S;L;;
anhang;SAM;S;L;;
anhær;SLÆ;S;L;;
anker;SØF;S;L;;
ankomst;HAN;S;L;;
anpart;BES;S;L;;
anrigter;GAS;S;L;;
ansigt;KRO;S;L;;
anskrig;HAN;S;L;;
anslag;HAN;S;L;;
anstand;JUR;S;L;;
anstød;HAN;S;L;;
antal;KVA;S;L;;
antræd;HUS;S;L;;
anverper;HÅN;S;L;;
arbejde;HÅN;S;L;;
ark;SAM;S;L;;
arkeli;MIL;S;L;;
armbrøst;MIL;S;L;;
armod;BES;S;L;;
armtøj;MIL;S;L;;
aron;FLO;S;L;;
art;FAU;S;L;;
arvesåt;SAM;S;K;;
avnbøg;FLO;S;K;;
baj;BEK;S;L;;
bakke;SØF;S;L;;
bakkelse;GAS;S;L;;
baldrian;FLO;S;L;;
balg;MIL;S;L;;
balje;HÅN;S;L;;
ballast;SØF;S;L;;
balle;SØF;S;L;;
bane;BEV;S;L;;
banner;MIL;S;L;;
barat;BEK;S;L;;
barber;HÅN;S;L;;
barde;MIL;S;L;;
barde;FAU;S;L;;
barfred;MIL;S;L;;
bark;FLO;S;L;1;
barker;HÅN;S;L;1;
barnefod;KOG;S;L;1;
barnsten;SØF;S;L;;
bars;FAU;S;L;;
barse;SØF;S;L;;
bart;KRO;S;L;;
bastert;GAS;S;L;;
basun;MUS;S;L;;
bean;KRO;S;L;1;
bed;HÅN;S;L;;
bede;FLO;S;L;;
bede;REL;S;L;;
bede;FAU;S;L;;
bedrag;BES;S;K;;
bedrift;HAN;S;K;;
bedring;KRO;S;K;;
bedrøvelse;FØL;S;L;1;
befal;SAM;S;L;;
befaling;SAM;S;L;1;
beg;HÅN;S;L;;
begreb;KOG;S;K;;
begyndelse;HAN;S;L;1;
begynder;SAM;S;L;1;
begængelse;HAN;S;K;;
begær;KOG;S;L;;
begæring;SAM;S;L;1;
behag;KOG;S;L;;
behjælp;HAN;S;K;;
behold;KOG;S;K;;
behov;KOG;S;L;;
behør;SAM;S;K;;
bejtel;HÅN;S;L;;
bekendelse;SPR;S;L;;USIKKER
beklemmelse;KOG;S;N;;
bekymmer;FØL;S;L;;
bekymring;FØL;S;L;;
belag;MIL;S;L;;
belob;RUM;S;L;;
beram;SAM;S;L;;USIKKER
berggeselle;HÅN;S;L;;
berme;MIL;S;L;;
bernsten;SØF;S;L;1;
bertram;FLO;S;L;;
berøm;SAM;S;L;;
beråd;KOG;S;L;;
besked;SPR;S;L;;
beskudding;SAM;S;L;;
beskyt;SAM;S;L;;
beslag;HÅN;S;L;;
bestand;SAM;S;L;;
bestilling;SAM;S;L;;USIKKER
besvær;KOG;S;L;;
betryk;KOG;S;K;;
bevilling;SAM;S;L;;
bibel;REL;S;L;;
bigat;SØF;S;L;1;USIKKER
bigtpenge;BES;S;L;;
bikke;HÅN;S;L;;
bikkel;KRO;S;L;1;
bil;HÅN;S;L;;
billede;MUS;S;L;;
bindike;HÅN;S;L;;
bindsel;SØF;S;L;;
bindt;HÅN;S;L;1;
bindøkse;HÅN;S;K;;
birk;JUR;S;L;1;
bislag;HUS;S;L;;
bislopperske;SAM;S;L;;
bismer;BES;S;L;;
bismervægt;BES;S;N;;
bistand;SAM;S;K;;
bit;KVA;S;L;;
bitte;KVA;S;L;;
bles;FAU;S;L;;
blide;MIL;S;L;;
blik;HÅN;S;L;;
blik;HAN;S;L;1;
blixen;VER;S;L;;
blok;HÅN;S;L;;
blomme;FLO;S;L;;
blus;SØF;S;L;;
bly;HÅN;S;L;;
blyant;BEK;S;L;1;USIKKER
blyglætte;HÅN;S;L;;
blæne;KRO;S;L;;
blænker;MIL;S;N;;
boble;VER;S;L;;
bog;FLO;S;L;;
bogfinke;FAU;S;L;;
boghvede;FLO;S;L;;
bol;SAM;S;L;;USIKKER
bole;SAM;S;L;;
bolskab;SAM;S;L;;
bolt;SØF;S;L;;
bolt;HÅN;S;L;;
bolværk;HÅN;S;L;;
bom;SAM;S;L;;
bommesi;BEK;S;L;;
bomolie;GAS;S;L;;
bomuld;BEK;S;L;;
bopæl;SAM;S;K;1;
borg;BES;S;L;;
borgeleje;SAM;S;L;1;USIKKER
borger;SAM;S;L;;
borgerskab;SAM;S;L;;
borgerske;SAM;S;L;;
borgmester;SAM;S;L;;
bort;HÅN;S;L;;
boulevard;SAM;S;L;1;
boveri;HAN;S;L;;
bovspryd;SØF;S;L;;
brad;GAS;S;L;;
bradbænk;SØF;S;K;;
bradspid;GAS;S;L;;
brage;VER;S;K;;
brage;HÅN;S;L;;
bram;FLO;S;L;;
bras;FØL;S;L;;
brase;HÅN;S;L;;
brasen;FAU;S;L;;
brask;FØL;S;L;;
bregne;FLO;S;L;1;
bremse;HÅN;S;L;;
brik;HÅN;S;L;;
briks;HÅN;S;L;;
brink;VER;S;L;1;
brise;VER;S;L;;
brist;HAN;S;L;1;
brok;KRO;S;L;;
brokfugl;FAU;S;L;;
brombær;FLO;S;L;;
brosme;FAU;S;L;1;
brug;SAM;S;L;;
brum;SPR;S;L;;
bry;GAS;S;L;;
bræk;HAN;S;L;;
bræmme;BEK;S;L;;
brændevin;GAS;S;K;;
bræt;HÅN;S;L;;
brøde;FØL;S;K;;
brødsukker;GAS;S;N;;
buddike;FLO;S;L;;
bugbid;KRO;S;K;;
bugspryd;SØF;S;K;;
bugt;VER;S;L;;
buksbom;FLO;S;L;;
bukse;BEK;S;L;;
bulder;HAN;S;L;;
bule;HAN;S;L;;
bumester;HÅN;S;L;;
bundt;KVA;S;L;;
buntmager;HÅN;S;L;;
bursprog;SAM;S;L;;
bussemand;KRO;S;L;;
busseskib;SØF;S;K;;
bylt;BEK;S;L;;
bynne;VER;S;L;;
byse;SØF;S;L;;
bytte;FAU;S;L;;
bægt;HAN;S;L;1;
bækken;KRO;S;L;;
bære;HAN;S;L;;USIKKER
bærme;SAM;S;L;;
bæst;FAU;S;L;;
bæver;FAU;S;K;;
bævergejl;FAU;S;K;;
bøddel;SAM;S;L;;
bøddele;SAM;S;L;;
bødker;HÅN;S;L;;
bøffel;FAU;S;L;;
bøje;SØF;S;L;;
bøjert;SØF;S;L;;
bønhas;SAM;S;L;;
bør;BEV;S;L;;
bøsse;MIL;S;L;;
bøssekrudt;MIL;S;L;;
bøssesten;MIL;S;L;;
bøtte;HÅN;S;L;;
både;HAN;S;L;;
bådsmand;SØF;S;L;;
båke;SØF;S;L;;
båre;MIL;S;L;;
celle;SAM;S;L;1;
chartek;SAM;S;L;1;
daddel;FLO;S;L;;
dagting;SAM;S;K;;
damask;BEK;S;L;;
dannekvinde;SAM;S;N;;
dannemand;SAM;S;N;;
dat;HAN;S;L;;USIKKER
datum;TID;S;L;;
deger;KVA;S;L;;
del;KVA;S;L;;
desmer;FAU;S;L;;
desmerdyr;FAU;S;N;;
desmerurt;FLO;S;N;;
dialesalve;BEK;S;L;;
digegreve;SAM;S;L;;
digel;HÅN;S;L;;
digt;MUS;S;L;;
dirk;HÅN;S;L;;
dise;BEK;S;L;;
dising;VER;S;L;;USIKKER
dobbe;FAU;S;L;;
dobbel;SAM;S;L;;
dok;SØF;S;L;;
dole;SAM;S;L;;
dollar;BES;S;L;1;
dolslag;BEK;S;L;;
donkraft;HÅN;S;L;;
drabant;MIL;S;L;;
drager;SAM;S;L;;
dragesele;BEV;S;L;;
dragt;BEK;S;L;;
dranker;SAM;S;K;;USIKKER
dressel;BES;S;L;;
drog;SAM;S;K;;
dromedar;FAU;S;L;1;
drone;FAU;S;L;;
dros;KRO;S;L;;
drossel;FAU;S;L;;
drost;SAM;S;L;;
dru;GAS;S;L;1;
drue;KVA;S;L;;
druebor;HÅN;S;N;;
drukkenbolt;SAM;S;L;;
drukkenskab;HAN;S;L;1;USIKKER
drummer;REL;S;L;;USIKKER
drunk;HAN;S;L;;
dryp;HAN;S;L;;
dræk;HUS;S;L;;
dræksjung;SAM;S;N;;
drøvelse;FØL;S;K;;USIKKER
dudendop;SAM;S;L;;
dug;HUS;S;L;;
dugt;SØF;S;L;;
dukke;HUS;S;L;;
dumrian;SAM;S;L;;
dunder;VER;S;L;;
dunk;HÅN;S;L;;
dunst;SAN;S;L;;USIKKER
dup;HÅN;S;L;;
durik;FAU;S;L;;
dus;SAM;S;L;;
dusin;KVA;S;L;;
dvaledrik;GAS;S;L;1;
dvælg;SØF;S;L;;
dvælg;HUS;S;L;;
dyring;TID;S;L;;
dyst;MIL;S;L;;
dyvel;HÅN;S;L;;
dække;HUS;S;L;1;
dæksel;HÅN;S;L;;
dæle;HÅN;S;L;;
dødike;HÅN;S;L;;
dødslag;HAN;S;K;;
dørk;SØF;S;L;;
dørns;HUS;S;L;;USIKKER
dørslag;HUS;S;L;;USIKKER
dåb;REL;S;L;;
dåre;SAM;S;L;;
dårekiste;SAM;S;L;;
ebbe;VER;S;L;;
eddike;GAS;S;L;;
efterretning;SPR;S;K;;
ege;SØF;S;L;;
egt;KRO;S;L;1;
ejendom;JUR;S;L;;
ejland;VER;S;L;;
elende;FØL;S;L;;
elfenben;HÅN;S;L;1;
elm;FLO;S;L;1;
embedsmand;SAM;S;K;;
endesked;SAM;S;L;;
endragt;SAM;S;L;;
enhjørning;FLO;S;K;;USIKKER
enke;SLÆ;S;L;1;
enspænder;SAM;S;K;1;
es;KVA;S;L;;
es;FØL;S;L;;
eskadre;SØF;S;L;1;
esping;SØF;S;L;;
esse;HUS;S;L;;USIKKER
etmål;SØF;S;L;;
eventyr;HAN;S;L;;
evert;SØF;S;L;;
façon;HAN;S;L;1;
fadder;REL;S;L;;
fadderskab;REL;S;L;;
fadderske;REL;S;L;;
fading;HÅN;S;L;1;
fagte;HAN;S;L;;
faldbom;MIL;S;L;;
falk;FAU;S;L;;
falkeleje;FAU;S;L;;
falkoner;FAU;S;L;;
falkonet;SØF;S;L;;USIKKER
fals;HAN;S;L;;
falsk;HAN;S;L;;
falskner;SAM;S;L;;
fane;MIL;S;L;;
fange;MIL;S;L;;USIKKER
fangst;FAU;S;L;;
fanke;FLO;S;L;;
fant;SAM;S;L;;USIKKER
fare;FØL;S;L;;
farebog;REL;S;K;1;
farlighed;FØL;S;L;;
farsot;KRO;S;L;1;
fart;BEV;S;L;;
fartøj;BEV;S;L;;
farve;HÅN;S;L;;
farvelade;MUS;S;N;;
farver;HÅN;S;L;1;
fastelavn;REL;S;L;;
feber;KRO;S;L;;
fedel;MUS;S;L;;
fedtegrever;GAS;S;N;;
fejde;MIL;S;L;;
fejefyr;REL;S;L;;
fejl;HAN;S;L;;
felt;VER;S;L;;
fenne;VER;S;L;;
fennikel;FLO;S;L;;
ferdendel;KVA;S;L;;
fernis;HÅN;S;L;;
fetalje;GAS;S;L;;
fetaljebroder;SAM;S;L;;
fibel;HUS;S;L;;
figen;FLO;S;K;;
fikke;BEK;S;L;;
fil;HÅN;S;K;;
filt;HÅN;S;L;;
finke;FAU;S;L;;
finkeljokum;GAS;S;L;1;
finker;GAS;S;L;;
finne;FAU;S;L;;
finne;FAU;S;L;1;
fiol;MUS;S;L;;
firk;BES;S;L;;
fistel;KRO;S;L;;USIKKER
fjas;SPR;S;L;;
fjerdendel;KVA;S;L;1;
fjældfras;FAU;S;L;1;
fjæs;HAN;S;L;1;
flab;KRO;S;L;;
flagermus;FAU;S;K;;
flagspætte;FAU;S;N;;
fled;SAM;S;L;1;
flid;HAN;S;L;;
flint;VER;S;L;1;
flintsten;VER;S;L;1;
flise;HÅN;S;L;;
flitter;HÅN;S;L;1;
flod;VER;S;L;;
flok;HÅN;S;L;;
floksilke;BEK;S;N;;
flomme;KRO;S;L;;
flos;BEK;S;L;1;
flugt;MIL;S;L;;
flæb;KRO;S;L;;
flække;SAM;S;L;;
fløj;"FAU;MIL;SAM";S;K;;
fløjl;BEK;S;L;;
fløjte;MUS;S;L;;
fløjte;SØF;S;L;1;
flåd;HAN;S;L;1;
fod;KRO;S;L;1;
foder;HÅN;S;L;;
fodgænger;SAM;S;K;;
foermand;SAM;S;L;;
foerværk;HÅN;S;L;;
foged;JUR;S;L;;
fogedi;JUR;S;L;;
fok;SØF;S;L;;
fold;FAU;S;L;;USIKKER
foragt;FØL;S;L;;
forbandt;HÅN;S;L;;
forbeding;REL;S;L;;
forborg;MIL;S;L;;
forbud;HAN;S;L;1;
forbund;SAM;S;L;;
fordel;HAN;S;L;;
fordrag;JUR;S;K;;
fordæk;SØF;S;L;;
fordærv;HAN;S;L;;
forehavende;HAN;S;K;;
forfader;SLÆ;S;L;;
forfald;HAN;S;L;;
forfang;HAN;S;L;;
forgift;GAS;S;L;;
forhoved;KRO;S;L;;
forhæng;HUS;S;L;;
forhøjning;VER;S;L;1;
forhør;JUR;S;K;;
forkastel;SØF;S;L;;
forkering;"HAN;SAM";S;L;;
forkøb;BES;S;K;;
forlag;BES;S;L;;
forlis;BES;S;L;;
forlisning;BES;S;L;;
forlov;JUR;S;L;;
forlover;JUR;S;L;1;USIKKER
forlust;BES;S;L;;
forløb;"TID;RUM";S;L;1;USIKKER
form;RUM;S;L;1;
formue;BES;S;L;;
formuenhed;BES;S;L;1;USIKKER
formynder;JUR;S;L;;
formynderskab;JUR;S;L;;
fornotling;JUR;S;L;;
fornuft;FØL;S;L;;
forord;SPR;S;L;1;
forpligt;JUR;S;L;;
forprang;BES;S;L;;
forpæling;MIL;S;L;;
forram;HAN;S;L;;
forræder;JUR;S;L;;
forråd;BES;S;K;;
forsigtighed;HAN;S;L;;
forskel;KOG;S;L;;
forskrift;JUR;S;L;1;USIKKER
forskud;"HÅN;BES";S;L;1;
forsmag;FØL;S;L;1;
forsmædelse;FØL;S;K;;
forspan;BEK;S;L;;
forspil;MUS;S;L;1;
forsprekker;SAM;S;L;;
forspøg;HAN;S;K;;USIKKER
forstand;KOG;S;L;;
forstander;SAM;S;K;;
forstrand;VER;S;L;;
forstændighed;KOG;S;L;1;
forståelse;KOG;S;L;1;
forsæt;HAN;S;K;;
fortgang;BEV;S;L;;
fortjeneste;BES;S;L;1;
fortog;SØF;S;L;;
fortog;HAN;S;L;1;USIKKER
fortoning;"KOG;SØF";S;L;1;
fortrin;HAN;S;K;;
fortræd;FØL;S;L;;
fortøgering;HAN;S;L;;
forvantskab;SLÆ;S;L;;
forvar;HAN;S;L;;
forvorpenhed;HAN;S;L;;
foræring;BES;S;L;;
forår;TID;S;K;;
fourer;"SAM;MIL";S;L;;USIKKER
fragt;SØF;S;L;;
fransos;SAM;S;L;;
fribytter;MIL;S;L;;
frier;SAM;S;L;;
frihed;SAM;S;L;;
friherre;SAM;S;L;;
frille;SLÆ;S;L;1;
fritte;FAU;S;L;;
frokost;GAS;S;L;;
fromesse;REL;S;L;;
fruentimmer;SAM;S;L;1;
frugt;FLO;S;L;;
frygt;FØL;S;L;;
frynt;SLÆ;S;L;;
fryntskab;SLÆ;S;L;;
frøken;SAM;S;L;;
fråds;HAN;S;L;;
fugt;VER;S;L;;
fuldbord;JUR;S;L;;
fuldmagt;JUR;S;L;;
fund;HAN;S;K;;
fust;VER;S;L;1;
fusthammer;HÅN;S;L;;
fyldest;"JUR;BES";S;L;;
fyr;"VER;SØF";S;L;;
fyraften;TID;S;L;;
fyrbold;MIL;S;K;;
fyrbolle;HUS;S;K;1;
fyrbøder;HÅN;S;L;;
fyrighed;FØL;S;L;;
fyrste;SAM;S;L;;
fyrstinde;SAM;S;L;;
fyrtøj;HÅN;S;L;;
fælg;HÅN;S;L;;
fængsel;JUR;S;L;;
fænnik;MIL;S;L;;
fætter;SLÆ;S;L;;
føje;JUR;S;L;;
føring;SØF;S;K;;
gaber;SAM;S;L;1;
gadder;HUS;S;L;;
gaffel;"GAS;MIL;SØF;HÅN";S;L;;
galej;SØF;S;L;;
galgant;FLO;S;L;1;
galle;"FLO;KRO;HÅN";S;L;;
galm;VER;S;L;1;
gangvogn;BEV;S;K;;
ganning;FØL;S;L;1;
garn;HÅN;S;L;;
gave;BES;S;K;;USIKKER
gebyr;BES;S;L;;
gebærd;HAN;S;L;;
gederams;FLO;S;N;;USIKKER
gefald;"FØL;HAN";S;L;;
gehør;SAN;S;L;;
geled;MIL;S;L;;
gelegenhed;HAN;S;L;;
gelejdsmand;BEV;S;L;;
gemak;HUS;S;L;;
gemyse;FLO;S;L;1;
gerrighed;BES;S;L;1;
geryst;HÅN;S;L;;
geråd;BES;S;L;;
gesel;HÅN;S;L;;
gesellestik;MIL;S;L;;
gesind;HUS;S;L;;
gesindeken;HUS;S;L;;
geskæft;HAN;S;L;;
geskænk;BES;S;L;;
getov;HÅN;S;L;;
gevind;BES;S;L;;
gevær;MIL;S;L;;
gie;SØF;S;L;;
gifttyde;FLO;S;N;;USIKKER
gige;MUS;S;L;;
gigt;KRO;S;L;;
gisel;MIL;S;L;1;
gjordel;BEK;S;L;1;
glas;"HÅN;GAS;SØF";S;L;;
glavind;MIL;S;K;;USIKKER
glib;HÅN;S;L;1;
glut;SAM;S;L;;USIKKER
glætte;HÅN;S;L;;
greve;SAM;S;L;;
grever;GAS;S;L;;
grib;FAU;S;L;;
grimmenis;SAM;S;L;;USIKKER
grindel;HUS;S;L;;
groffenbrad;GAS;S;L;;
grotfyrste;SAM;S;L;1;
grube;"VER;HÅN";S;L;;
grue;"HUS;VER";S;L;;
grus;VER;S;L;;
grut;"VER;FLO";S;L;1;USIKKER
græker;SAM;S;L;1;
grænse;SAM;S;L;;
græsenke;"SAM;KOG";S;K;;
græskar;FLO;S;N;;
græsspire;FLO;S;L;;USIKKER
grævling;FAU;S;L;;
grøde;"FLO;KRO";S;L;;
grøft;VER;S;L;1;
grønirisk;FAU;S;K;;USIKKER
grønsvær;FAU;S;L;1;
gudshus;REL;S;K;;
guldværk;HÅN;S;K;;
gunst;FØL;S;L;;
gylden;BES;S;L;;
gylle;FLO;S;L;;
gynter;KRO;S;L;1;
gæk;HÅN;S;L;;
gæk;SAM;S;L;;
gækkeri;HAN;S;L;;
gær;FLO;S;K;;
gæstehus;SAM;S;K;1;
gøgelspil;HAN;S;L;;
gøgl;HAN;S;L;;
gøgler;SAM;S;L;;
gåseørn;FAU;S;L;1;
hage;MIL;S;L;;
hagebøsse;MIL;S;L;;
hakke;HÅN;S;L;1;USIKKER
hakkebræt;"HUS;MUS";S;L;;
hakkelse;FLO;S;L;;
halle;SAM;S;L;;
hamme;HÅN;S;L;1;
hamp;FLO;S;L;1;
handel;HAN;S;L;;
handling;HAN;S;L;1;USIKKER
handske;BEK;S;L;;
hank;HÅN;S;L;;
hanrej;SLÆ;S;L;;
hans;SAM;S;L;;
hansa;SAM;S;L;;
harnisk;MIL;S;L;;
harpiks;FLO;S;L;;
harrild;FLO;S;L;;USIKKER
hartkorn;FLO;S;L;1;
harts;FLO;S;L;1;
has;FLO;S;L;;
hase;KRO;S;L;;USIKKER
hast;BEV;S;L;;
hattestafferer;HÅN;S;L;;
havelværk;MIL;S;L;;
hedevig;GAS;S;K;;
heggel;FLO;S;L;;
hegle;FLO;S;L;;
helled;SAM;S;L;;
hellegat;SØF;S;L;1;
hellighed;REL;S;L;1;
helsfyr;REL;S;L;;
helt;SAM;S;L;;
hemmelighed;KOG;S;L;1;
henfart;"BEV;REL";S;L;1;USIKKER
herberg;SAM;S;L;;
herd;"HUS;HÅN";S;L;;
herkomst;SLÆ;S;L;1;USIKKER
herlighed;FØL;S;L;1;USIKKER
hermelin;BEK;S;L;;
herold;SAM;S;L;;
herre;SAM;S;L;1;
herskab;SAM;S;L;;
hertug;SAM;S;L;;
hidsehund;MIL;S;L;1;USIKKER
himmelstreg;VER;S;L;1;
hinderhold;MIL;S;L;1;
hingst;FAU;S;L;;
hippokras;GAS;S;L;;
hirse;FLO;S;L;;
hjerteslag;FAU;S;L;;
hjælmetegn;SAM;S;K;;
hjælper;SAM;S;L;1;
hob;KVA;S;L;;
hof;SAM;S;L;;
hoffart;HAN;S;L;;
hoffourer;SAM;S;L;;
hoffærd;HAN;S;K;;
hoffærdighed;HAN;S;L;;
hofte;KRO;S;L;;
hold;HAN;S;L;1;
holk;SØF;S;L;1;
homej;MIL;S;L;;
hore;SAM;S;L;1;USIKKER
horesøn;SLÆ;S;L;;
hospital;SAM;S;L;1;USIKKER
hov;SAM;S;L;;
hovedskib;SØF;S;L;;
hovedstol;BES;S;K;;DDO_N
hovmand;SAM;S;L;;
hovmester;"SAM;SØF";S;L;;
hovmod;FØL;S;L;;
huj;BEV;S;L;;USIKKER
huk;"RUM;SØF";S;L;;
huld;FØL;S;K;;
hulsten;HÅN;S;L;1;USIKKER
hulurt;FLO;S;L;1;
humpel;"GAS;SØF";S;L;1;USIKKER
hundestejle;FAU;S;L;1;
hungertitte;FAU;S;L;1;
husbjælke;HUS;S;K;;
husblas;GAS;S;L;;
husfrue;HUS;S;K;;
husgesinde;HUS;S;L;;USIKKER
husk;HAN;S;L;1;
hvalrav;FAU;S;L;;
hvalspæk;FAU;S;L;;
